titulo_oferta,empresa,ciudad,salario_raw,fecha_raw,modalidad_raw,descripcion_raw,url_oferta,fuente,fecha_publicacion,salario_usd,categoria_rol
Ejecutiva Comercial B2B – Soluciones de Telecomunicaciones,TODOTEK,"Guayaquil, Guayas",,Hace  20  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutiva-comercial-b2b-soluciones-de-telecomunicaciones-con-experiencia-en-ventas-b2b-en-guayaquil-A53A59337C8FAD1761373E686DCF3405#lc=ListOffers-Score3-10,computrabajo_ec,2026-07-03,,Otros
Arquitecto de acabados y coordinacion de proyectos,,"Quito, Pichincha",,Hace  20  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-de-acabados-y-coordinacion-de-proyectos-proyectos-multifamiliares-en-quito-CED88620F5997A5761373E686DCF3405#lc=ListOffers-Score3-11,computrabajo_ec,2026-07-03,,Otros
Analista de tienda,DHISVE,"4,5","550,00 US$ (Mensual) + Comisiones",Hace  20  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-tienda-punto-de-venta-en-quito-259867D225DC053F61373E686DCF3405#lc=ListOffers-Score3-12,computrabajo_ec,2026-07-03,550.0,Otros
Asistente técnico de diseño y producción,TPDI TROQUELADOS PARTES Y DESARROLLOS INDUSTRIALES,"Ambato, Tungurahua",,Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-tecnico-de-diseno-y-produccion-metalmecanica-planos-y-control-de-produccion-en-ambato-546A152828A08B5F61373E686DCF3405#lc=ListOffers-Score3-13,computrabajo_ec,2026-07-02,,Soporte Técnico
B2B Sales Representative,,"Quito, Pichincha",,Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-b2b-sales-representative-bilingual-en-quito-7524CDA21C873BD761373E686DCF3405#lc=ListOffers-Score3-14,computrabajo_ec,2026-07-02,,Otros
Consultor(a) Freelance de Marca Personal y Posicionamiento B2B (Remoto),Campus Soft Loja Tecnología Cia. Ltda.,"Quito, Pichincha",,Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultora-freelance-de-marca-personal-y-posicionamiento-b2b-remoto-en-quito-D7F7E5517B63FC8661373E686DCF3405#lc=ListOffers-Score3-15,computrabajo_ec,2026-07-02,,Otros
Agente call center,,"Quito, Pichincha","500,00 US$ (Mensual) + Comisiones",Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-agente-call-center-asesor-comercial-en-quito-72207EA49D409C8561373E686DCF3405#lc=ListOffers-Score3-16,computrabajo_ec,2026-07-02,500.0,Otros
Filmmaker y Editor de Video Junior Quito,BlueCaribu Ecuador,"Quito, Pichincha","600,00 US$ (Mensual)",Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-filmmaker-y-editor-de-video-junior-quito-hibrido-en-quito-95BC2705A15C440B61373E686DCF3405#lc=ListOffers-Score3-17,computrabajo_ec,2026-07-02,600.0,Otros
Asesor Comercial,Innovastec,"Quito, Pichincha",,Hace  2  días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-en-quito-409543B0116BAB2861373E686DCF3405#lc=ListOffers-Score3-18,computrabajo_ec,2026-07-01,,Otros
Operational Support Agent (PCD),Siigo del Ecuador,"Guayaquil, Guayas","394,00 US$ (Mensual)",Hace  4  días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operational-support-agent-pcd-en-guayaquil-39FE437CDC9AFAE461373E686DCF3405#lc=ListOffers-Score3-19,computrabajo_ec,2026-06-29,394.0,Otros
Analista Programador(a) – Desarrollo de Software Empresarial / San Isidro,QUE TAL COMPRA DEL PERU S.A.C.,"San Isidro, Lima",,Hace  7  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programadora-desarrollo-de-software-empresarial-san-isidro-sector-tecnologico-en-san-isidro-DB29EBD56110146D61373E686DCF3405#lc=ListOffers-Score4-0,computrabajo_pe,2026-07-03,,Desarrollo de Software
Analista de Calidad de Software Tacna,,"Tacna, Tacna",,Hace  11  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-de-software-tacna-en-tacna-216F97877DF1A5B761373E686DCF3405#lc=ListOffers-Score4-1,computrabajo_pe,2026-07-03,,QA / Testing
Asistente de Desarrollo de Software –  San Borja,GRUPO DIGITAL SMILES MBE S.A.C.,"San Borja, Lima","S/. 1.300,00 (Mensual)",Hace  12  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-desarrollo-de-software--san-borja-en-san-borja-9E1191758F8B4F6261373E686DCF3405#lc=ListOffers-Score4-2,computrabajo_pe,2026-07-03,1300.0,Desarrollo de Software
Software Analyst Lims / Cercado de Lima,ALS LS PERU S.A.C.,"Lima, Lima",,Hace  13  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-software-analyst-lims-cercado-de-lima-en-lima-ABE5FCE23CDB9C6361373E686DCF3405#lc=ListOffers-Score4-3,computrabajo_pe,2026-07-03,,Desarrollo de Software
Analista de sistemas/Software,Fundición Chilca S.A. - FUCSA,"4,4",,Hace  17  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemassoftware-en-san-isidro-EBFBFCEB37350A4361373E686DCF3405#lc=ListOffers-Score4-4,computrabajo_pe,2026-07-03,,Desarrollo de Software
Analista de Control de Calidad de Software,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,"4,4",,Hace  19  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-control-de-calidad-de-software-tester-en-san-isidro-34665C04D99F83F261373E686DCF3405#lc=ListOffers-Score4-5,computrabajo_pe,2026-07-03,,QA / Testing
Analista de QA,OSYS,"Santiago De Surco, Lima","S/. 3.000,00 (Mensual)",Ayer,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-qa-calidad-de-software-en-santiago-de-surco-7CF1667BBE09F1C861373E686DCF3405#lc=ListOffers-Score4-6,computrabajo_pe,2026-07-02,3000.0,QA / Testing
Practicante de Desarrollo de Software (Remoto),MB GROUP SAC,"Surquillo, Lima","S/. 1.130,00 (Mensual)",Ayer,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-desarrollo-de-software-remoto-en-surquillo-D586C54DC395E54B61373E686DCF3405#lc=ListOffers-Score4-7,computrabajo_pe,2026-07-02,1130.0,Desarrollo de Software
Superintendente de aplicaciones de Software,Agrovision Peru Sac,"4,6",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-superintendente-de-aplicaciones-de-software-en-olmos-37F3BA79A5F3808D61373E686DCF3405#lc=ListOffers-Score4-8,computrabajo_pe,2026-07-01,,Desarrollo de Software
"Practicante de Optimización de datos (Ing. Industrial, Ing. de Software,  Ing. de Sistemas)",Textiles Camones,"4,1",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-optimizacion-de-datos-ing-industrial-ing-de-software-ing-de-sistemas-en-puente-piedra-26D2018FE0076BAE61373E686DCF3405#lc=ListOffers-Score4-9,computrabajo_pe,2026-07-01,,Data / BI
Practicante Profesional de Desarrollo de Software IA,ESCUELA IBEROAMERICA DE NEGOCIOS,"Surquillo, Lima","S/. 1.300,00 (Mensual)",Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-de-desarrollo-de-software-ia-en-surquillo-CCB80F3D76913A3A61373E686DCF3405#lc=ListOffers-Score4-10,computrabajo_pe,2026-07-01,1300.0,Desarrollo de Software
Analista de Calidad de Software,IDE SOLUTION,"4,7",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-de-software-remoto-en-san-borja-D16DC15006645FC661373E686DCF3405#lc=ListOffers-Score4-11,computrabajo_pe,2026-07-01,,QA / Testing
Implementador de Soluciones ITSM,Dicomtech,"San Borja, Lima",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-implementador-de-soluciones-itsm-software-mesa-de-ayuda-en-san-borja-B3759D1408AE89C361373E686DCF3405#lc=ListOffers-Score4-12,computrabajo_pe,2026-07-01,,Otros
"Asistente Técnico de Redes, Software y hadware",Ceneris EIRL,"Miraflores, Lima","S/. 1.300,00 (Mensual)",Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-tecnico-de-redes-software-y-hadware-en-miraflores-418C11D83C870CFA61373E686DCF3405#lc=ListOffers-Score4-13,computrabajo_pe,2026-06-30,1300.0,Soporte Técnico
Docente Pregrado de Software y Tecnología en la Salud,Universidad de Ciencias y Humanidades,"4,6",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-pregrado-de-software-y-tecnologia-en-la-salud-en-los-olivos-746B645EE8A9C08D61373E686DCF3405#lc=ListOffers-Score4-14,computrabajo_pe,2026-06-30,,Desarrollo de Software
Customer Service / Galaxy Consultant Samsung Móvil/ Soporte técnico Software,Grupo Tawa,"4,3",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-customer-service-galaxy-consultant-samsung-movil-soporte-tecnico-software-descansa-domingos-planilla-s1700-en-villa-el-salvador-DB46555DFA68D9AF61373E686DCF3405#lc=ListOffers-Score4-15,computrabajo_pe,2026-06-30,,Soporte Técnico
Ejecutivo Comercial / Venta de Software,Semco S.A.,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-comercial-venta-de-software-experiencia-en-venta-de-software-yo-sistemas-en-santiago-de-surco-25336A4E043B022261373E686DCF3405#lc=ListOffers-Score4-16,computrabajo_pe,2026-06-30,,Desarrollo de Software
Ejecutivo de Ventas de Software,Semco S.A.,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-de-software-en-santiago-de-surco-ACDEF68EC7E4B8D961373E686DCF3405#lc=ListOffers-Score4-17,computrabajo_pe,2026-06-30,,Desarrollo de Software
Arquitecto software,Software Enterprise Services SAC,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-software-en-san-isidro-70E61D135AA1022461373E686DCF3405#lc=ListOffers-Score4-18,computrabajo_pe,2026-06-30,,Desarrollo de Software
Asistente Comercial,,"Santiago De Surco, Lima",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-comercial-venta-de-software-en-santiago-de-surco-8404E81472F3A9CF61373E686DCF3405#lc=ListOffers-Score4-19,computrabajo_pe,2026-06-30,,Otros
"Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",,GUAYAQUIL,$482,22/05/2026,Tiempo Completo,"Premium Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3038497/ejecutivo-comercial-contac-center-en-guayas,trabajosdiarios,2026-05-22,482.0,Data / BI
"Asesor/a Comercial de Software y Tecnología Pacusoft SAS En Pacusoft buscamos incorporar a nuestro equipo un/a Asesor/a Comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. Buscamos una persona con habilidades comerciales, facilidad para relacionarse con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",,Quito,"$550,00",14/05/2026,Tiempo Completo,"Premium Asesor/a Comercial de Software y Tecnología Pacusoft SAS En Pacusoft buscamos incorporar a nuestro equipo un/a Asesor/a Comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. Buscamos una persona con habilidades comerciales, facilidad para relacionarse con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3034647/asesora-comercial-de-software-y-tecnologia-en-pichincha,trabajosdiarios,2026-05-14,550.0,Data / BI
"Asistente Bodega PARABRISAS AM GLASSES Personal para bodega que conozca de logistica e inventario, responsable y puntual en el detalle de su trabajo, toma fisica de stock y registro de entradas y salidas, uso de excel o software, disponibilidad inmediata y trabajo en equipo, sueldo... Tiempo Completo GUAYAQUIL, Guayas • 08/06/2026 $482,00 / Mensual",,GUAYAQUIL,"$482,00",08/06/2026,Tiempo Completo,"Premium Asistente Bodega PARABRISAS AM GLASSES Personal para bodega que conozca de logistica e inventario, responsable y puntual en el detalle de su trabajo, toma fisica de stock y registro de entradas y salidas, uso de excel o software, disponibilidad inmediata y trabajo en equipo, sueldo... Tiempo Completo GUAYAQUIL, Guayas • 08/06/2026 $482,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3046825/asistente-bodega-en-guayas,trabajosdiarios,2026-06-08,482.0,Data / BI
"Pasantía Laboral / Research and Development Deinsa Global En Deinsa Global estamos realizando un Programa de Pasantía Laboral para estudiantes de alto desempeño y profesionales (modalidad virtual), que deseen iniciar una carrera profesional desempeñando el puesto de PROJECT MANAGER en RESEARCH & DEVELOPMENT. Este rol presupone la realización... Desde Casa Sin experiencia Pichincha, Pichincha • 29/06/2026",,Pichincha,,29/06/2026,Desde Casa,"Pasantía Laboral / Research and Development Deinsa Global En Deinsa Global estamos realizando un Programa de Pasantía Laboral para estudiantes de alto desempeño y profesionales (modalidad virtual), que deseen iniciar una carrera profesional desempeñando el puesto de PROJECT MANAGER en RESEARCH & DEVELOPMENT. Este rol presupone la realización... Desde Casa Sin experiencia Pichincha, Pichincha • 29/06/2026",https://ec.trabajosdiarios.com/trabajo/3058038/pasantia-laboral-research-and-development-en-pichincha,trabajosdiarios,2026-06-29,,Otros
"Ventas Sara Ochoa Clínica Ser Humano se encuentra en la búsqueda de un/a Asesor/a Comercial Digital para integrarse a nuestro equipo. Requisitos: • Experiencia en ventas y atención al cliente. • Manejo de redes sociales y respuesta a mensajes. • Conocimientos básicos de... Tiempo Completo Guayaquil, Guayas • 18/06/2026",,Guayaquil,,18/06/2026,Tiempo Completo,"Ventas Sara Ochoa Clínica Ser Humano se encuentra en la búsqueda de un/a Asesor/a Comercial Digital para integrarse a nuestro equipo. Requisitos: • Experiencia en ventas y atención al cliente. • Manejo de redes sociales y respuesta a mensajes. • Conocimientos básicos de... Tiempo Completo Guayaquil, Guayas • 18/06/2026",https://ec.trabajosdiarios.com/trabajo/3054642/ventas-en-guayas,trabajosdiarios,2026-06-18,,Otros
"Auxiliar contable Sara Ochoa OFERTA LABORAL Clínica Ser Humano se encuentra en la búsqueda de un/a Auxiliar Contable para trabajar medio tiempo bajo modalidad de servicios prestados. Requisitos: • Conocimientos en software contables. • Experiencia básica en procesos contables y administrativos. • Persona organizada,... Medio Tiempo Guayaquil, Guayas • 18/06/2026",,Guayaquil,,18/06/2026,Medio Tiempo,"Auxiliar contable Sara Ochoa OFERTA LABORAL Clínica Ser Humano se encuentra en la búsqueda de un/a Auxiliar Contable para trabajar medio tiempo bajo modalidad de servicios prestados. Requisitos: • Conocimientos en software contables. • Experiencia básica en procesos contables y administrativos. • Persona organizada,... Medio Tiempo Guayaquil, Guayas • 18/06/2026",https://ec.trabajosdiarios.com/trabajo/3054633/auxiliar-contable-en-guayas,trabajosdiarios,2026-06-18,,Desarrollo de Software
"Desarrollador (parroquia Chongon) TELECOM&NET S.A.A Desarrollador de Software / Web Ubicación: Chongón (presencial) Requisitos: Título en Ingeniería en Software o Ingeniería en Desarrollo de Aplicaciones Web. Conocimientos sólidos en HTML, CSS y JavaScript. Experiencia en WordPress y al menos un framework frontend (React, Vue o... Tiempo Completo GUAYAQUIL, Guayas • 16/06/2026 $700,00 / Mensual",,Chongon,"$700,00",16/06/2026,Tiempo Completo,"Desarrollador (parroquia Chongon) TELECOM&NET S.A.A Desarrollador de Software / Web Ubicación: Chongón (presencial) Requisitos: Título en Ingeniería en Software o Ingeniería en Desarrollo de Aplicaciones Web. Conocimientos sólidos en HTML, CSS y JavaScript. Experiencia en WordPress y al menos un framework frontend (React, Vue o... Tiempo Completo GUAYAQUIL, Guayas • 16/06/2026 $700,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3053280/desarrollador-parroquia-chongon-en-guayas,trabajosdiarios,2026-06-16,700.0,Frontend
"Asistente gerencia administrativa ventas Gk-innova SE REQUIERE PERSONA PROACTIVA CON CONOCIMIENTOS EN ÁREAS FINANCIERAS, ADMINISTRATIVAS Y ATENCIÓN AL CLIENTE, CON LA POSIBILIDAD DE VIAJAR, CON CONOCIMIENTOS DE MANEJO DE SOFTWARE ADMINISTRATIVO FINANCIERO, COMPRAS PUBLICAS, REALIZAR OFERTAS SEGUIMIENTO DE OFERTASYCOTIZACIONES, SERVICIO Y ATENCION A CLIENTES, MANEJO... Por Contrato Quito, Pichincha • 15/06/2026 $550,00 / Mensual",,Quito,"$550,00",15/06/2026,Por Contrato,"Asistente gerencia administrativa ventas Gk-innova SE REQUIERE PERSONA PROACTIVA CON CONOCIMIENTOS EN ÁREAS FINANCIERAS, ADMINISTRATIVAS Y ATENCIÓN AL CLIENTE, CON LA POSIBILIDAD DE VIAJAR, CON CONOCIMIENTOS DE MANEJO DE SOFTWARE ADMINISTRATIVO FINANCIERO, COMPRAS PUBLICAS, REALIZAR OFERTAS SEGUIMIENTO DE OFERTASYCOTIZACIONES, SERVICIO Y ATENCION A CLIENTES, MANEJO... Por Contrato Quito, Pichincha • 15/06/2026 $550,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3052436/asistente-gerencia-administrativa-ventas-en-pichincha,trabajosdiarios,2026-06-15,550.0,Data / BI
"Tornero CNC WORIND COMPONENTES INDUSTRIALES Funciones Principales Interpretación de planos: Interpretar planos de ingeniería para entender las medidas y tolerancias de la pieza final. Programación: Introducir o modificar códigos y parámetros de mecanizado (velocidad, avance, profundidad) en el software de la máquina. Instalar las herramientas... Tiempo Completo Durán, Guayas • 12/06/2026",,Durán,,12/06/2026,Tiempo Completo,"Tornero CNC WORIND COMPONENTES INDUSTRIALES Funciones Principales Interpretación de planos: Interpretar planos de ingeniería para entender las medidas y tolerancias de la pieza final. Programación: Introducir o modificar códigos y parámetros de mecanizado (velocidad, avance, profundidad) en el software de la máquina. Instalar las herramientas... Tiempo Completo Durán, Guayas • 12/06/2026",https://ec.trabajosdiarios.com/trabajo/3051847/tornero-cnc-en-guayas,trabajosdiarios,2026-06-12,,Desarrollo de Software
"Conductor licencia C ZETALENT Formación: Bachiller. Experiencia de 2 años en posiciones similares. Conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, CONDUCIR VEHÍCULOS DE 3.5 T. PREFERENTE EXPERIENCIA EN... Tiempo Completo Quito, Pichincha • 02/06/2026",,Quito,,02/06/2026,Tiempo Completo,"Conductor licencia C ZETALENT Formación: Bachiller. Experiencia de 2 años en posiciones similares. Conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, CONDUCIR VEHÍCULOS DE 3.5 T. PREFERENTE EXPERIENCIA EN... Tiempo Completo Quito, Pichincha • 02/06/2026",https://ec.trabajosdiarios.com/trabajo/3047631/conductor-licencia-c-en-pichincha,trabajosdiarios,2026-06-02,,Soporte Técnico
"Operador de Plataformas autocargables ZETALENT Formación: Bachiller. Experiencia de 2 años en posiciones similares. Conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, CONDUCIR VEHÍCULOS DE 3.5 T. PREFERENTE EXPERIENCIA EN... Tiempo Completo Quito, Pichincha • 02/06/2026",,Quito,,02/06/2026,Tiempo Completo,"Operador de Plataformas autocargables ZETALENT Formación: Bachiller. Experiencia de 2 años en posiciones similares. Conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, CONDUCIR VEHÍCULOS DE 3.5 T. PREFERENTE EXPERIENCIA EN... Tiempo Completo Quito, Pichincha • 02/06/2026",https://ec.trabajosdiarios.com/trabajo/3047630/operador-de-plataformas-autocargables-en-pichincha,trabajosdiarios,2026-06-02,,Soporte Técnico
"Tecnico de Seguridad Electronica Especialista en Honeywell vista COMPURED Empresa: COMPURED Ubicación: Guayaquil, Ecuador Modalidad: Presencial / Campo Descripción del Puesto Buscamos un Técnico de Seguridad Electrónica de Alto Nivel con experiencia real, comprobable y sólida en la configuración avanzada de sistemas de intrusión. Experiencia Mínima: 3 a 5... Tiempo Completo Guayaquil, Guayas • 02/06/2026",,Guayaquil,,02/06/2026,Tiempo Completo,"Tecnico de Seguridad Electronica Especialista en Honeywell vista COMPURED Empresa: COMPURED Ubicación: Guayaquil, Ecuador Modalidad: Presencial / Campo Descripción del Puesto Buscamos un Técnico de Seguridad Electrónica de Alto Nivel con experiencia real, comprobable y sólida en la configuración avanzada de sistemas de intrusión. Experiencia Mínima: 3 a 5... Tiempo Completo Guayaquil, Guayas • 02/06/2026",https://ec.trabajosdiarios.com/trabajo/3047615/tecnico-de-seguridad-electronica-especialista-en-honeywell-vista-en-guayas,trabajosdiarios,2026-06-02,,Data / BI
"Asistente de compras quito ANDICALZADO S.A asistente de compras con 3 años de experiencia y Formación y Conocimientos Educación: Título técnico o universitario en Ingeniería Industrial, Administración de Empresas, Comercio Internacional o carreras afines. Materiales: Conocimiento profundo de cueros, sintéticos (PU, PVC), suelas (TPU, caucho, PU),... Por Contrato QUITO, Pichincha • 02/06/2026 $600,00 / Mensual",,quito,"$600,00",02/06/2026,Por Contrato,"Asistente de compras quito ANDICALZADO S.A asistente de compras con 3 años de experiencia y Formación y Conocimientos Educación: Título técnico o universitario en Ingeniería Industrial, Administración de Empresas, Comercio Internacional o carreras afines. Materiales: Conocimiento profundo de cueros, sintéticos (PU, PVC), suelas (TPU, caucho, PU),... Por Contrato QUITO, Pichincha • 02/06/2026 $600,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3047404/asistente-de-compras-quito-en-pichincha,trabajosdiarios,2026-06-02,600.0,Soporte Técnico
